"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"949","536198","Hulikunte Toll Plaza","Karnataka","Bangalore Rural","Dobaspet to Dodaballapur","648 (Old-NH-207)","Bangalore","Bangalore"
"962","536236","Kurungudi Toll Plaza","Tamil Nadu","Cuddalore","Meensurutti-Chidambaram","81 (NH-227)","Viluppuram","Chennai"
"963","536237","Ganityada Toll Plaza","Andhra Pradesh","Vizianagaram","Bowdara Viziangaram","516E","Vizianagaram","Vijayawada"
"967","536246","Kariyamangiam Toll Plaza","Tamil Nadu","Tiruvannamalai","Tindivanam-Krishnagiri","77 (NH-66)","Puducherry","Chennai"
"980","536336","Rolla Toll Plaza","Andhra Pradesh","Sri Satya Sai","Madakasaira Sira section","544E","","Vijayawada"
"986","536382","Nagampatti Toll Plaza:","Tamil Nadu","Krishnagiri","Tindivanam-Krishnagin","77 (NH-66)","Viluppuram","Chennai"
"987","536383","Chowlagere Fee Plaza","Karnataka","Hassan","Hassan-Maranahally section","75","Hasan","Bangalore"
"988","536385","Nanglikondan Toll Plaza","Tamil Nadu","Viluppuram","Tindivanam-Krishnagiri","77 (NH-66)","Viluppuram","Chennai"
"991","536392","Painampaili Toll Plaza","Telangana","Suryapet","Km 0.00 to Km 35.40 of Kodad to Khammam Section","3654","Khammam-I","Hyderabad"
"994","536397","Medipally Toll Plaza","Telangana","Medchal-Malkajgiri","Sironcha Atmakur section in between Mahadevpur - Bhupalapally","3530","Warangal","Hyderabad"
"999","536404","Kadhavani Toll Plaza","Tamil Nadu","Krishnagiri","Salem-Tirupathur-Vaniyambadi","179A","Krishnagiri","Chennai"
"1007","536413","Kovilvenni Toll Plaza","Tamil Nadu","Thiruvarur","Nagapattinam Thanjavur section..","67 (New83)","Thanjavur","Madurai"
"1010","536419","Vembukudi Toll Plaza","Tamil Nadu","Thanjavur","Cholpauram-Thanjavur section","45-C","Thanjavur","Madurai"
"1011","536422","Mulawad Toll Plaza","Karnataka","Vijayapura","Bijapur Hubli section","218","Bagalkot","Bangalore"
"1020","536434","H. Pudhupatti Toli Plaza","Tamil Nadu","Dharmapuri","Salem to Vayembadi (Km36.000 to 80.00)","179A","Salem","Chennai"
"1021","536441","Veeranjaneyapuram Fee Plaza","Andhra Pradesh","Palnadu","2-LPS of Nagarjuna sagar Dam to Davulapally","565","Ongole","Vijayawada"
"1022","536450","Mustapur Fee Plaza","Karnataka","Bidar","Aurad-Bidar section","1614","Gulbarga","Bangalore"
"1025","536457","Alagapada Toll Plaza","Telangana","Nalgonda district","Mirvalaquda to Kodad","167","Khammam-1","Hyderabad"
"1034","536466","Meriapaka","Andhra Pradesh","Tirupati","Renigunta Naidupeta","71","Tirupati","Vijayawada"
"1035","536467","Karagathahalli Toil Plaza","Tamil Nadu","Dharmapuri","Neraluru-Dharmapuri","844","Krishnagiri","Chennai"
"1045","536482","Sathyagala","Karnataka","Chamarajanagara","BRT Tiger Reserve Boundary to Bangalore section","3530","Mysuru","Bangalore"
"1057","536498","Attigulipura Toll plaza","Karnataka","Chamarajanagara","Attigulipura staggered fee plaza at Km 288.400 in LHS and design Km 288,700 in RHS of BRT Tiger Reserve Boundary to Bangalore section of National Highway no 209 (New NH-948)","209","Mysuru","Bangalore"
"1065","536520","Manambadi Fee Plaza","Tamil Nadu","Thanjavur","Sethiyathope-Cholpauram (Km 65.960-Km 116.440)","36","Thanjavur","Madurai"
"1072","536547","Mangapatnam Toll Plaza","Andhra Pradesh","Kadapa","Tadipatri Jammalamadugu via Muddanur","67","Anantpur","Vijayawada"
"1076","536573","Basinenipalli","Andhra Pradesh","Nellore","Seetharampuram-Duttaluru","167BG","Ongole","Vijayawada"
"1078","536587","Gandaboyanapalle","Andhra Pradesh","Annamayya","Madanapalli Pileru Section","71","Tirupati","Vijayawada"
"1120","546028","Nalluru Devanahalli Toll Plaza","Karnataka","Bangalore Rural","Doballapur Bypass Hoskote","648","Bangalore","Bangalore"
"1125","550024","Kothagudem","Telangana","Bhadradri Kothagudem","Nakrekal-Tanamcheria","365","Khammam-1","Hyderabad"
"1135","","Rudravaram","Andhra Pradesh","Nandyal","Madiem-Atmakur","3400","Kurnool","Vijayawada"
"1138","","Paluvai","Andhra Pradesh","Palnadu","Rehabilitation and Upgradation of NH 167AD from Macheria to Dachepalli","167AD","Ongale","Vijayawada"
"1139","","Ramanathapuram","Andhra Pradesh","Chittoor","2-LPS of Mangalore Thiruvannamalai","75","Chittoor","Vijayawada"
"1140","","Manapuram","Andhra Pradesh","Vizianagaram","Slauru Gotlam section of NH-26 (Raipur Visakhaptnam)","26","Vizianagaram","Vijayawada"
"1141","","Pedagaruvu","Andhra Pradesh","Alluri Sitaramaraju","Paderu-Gondiguda-Araku section of NH-516E","516E","Vizianagaram","Vijayawada"
"1142","","Peddakonduru","Andhra Pradesh","Nellore","Duttalur to Kavali","167BG","Ongole","Vijayawada"
"1143","","Kothapalli","Andhra Pradesh","Prakasam","Kadapa/Nellore Border to CS Puram section of NH-1678","1678","Ongole","Vijayawada"
"1144","","Burakayalakota","Andhra Pradesh","Annamayya","Mulakalacheruvu Madanapalli Section","42","Tirupati","Vijayawada"
"1146","","Anjukuzhipatti","Tamil Nadu","Dindigul","Dindigul kottampatty","383","Dindigul","Madurai"
"1148","","Kadarampalli","Andhra Pradesh","ANANTHAPURAMU","KALYANDURG-RAYADURG-MOLAKALMUR","544DD","Anantpur","Vijayawada"






