"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"649","350029","Bhiknoor Toll Plaza","Telangana","Nizamabad","Adioor Yellareddy - Chegunta TOT-16","44","Kamareddy","Hyderabad"
"650","350030","Gowraram","Telangana","Dharwad","AP/Telangana Border Rudrampur","30","Khammam-1","Hyderabad"
"651","350031","Komalla","Telangana","Mathura","Yadgiri Warangal","163","Warangal","Hyderabad"
"652","350032","Komatipalin","Telangana","Komatipalli","Yadgin Warangal NHDP-IV","163","Warangal","Hyderabad"
"653","350033","Muthojipet","Telangana","Warangal","Mangalwarpet to Mallampalli","365","Warangal","Hyderabad"
"654","350035","Dilawarpur fee plaza","Telangana","Dharwad","Kalyan-Nirmal-ZLPS","61","Kamareddy","Hyderabad"
"655","350035","Singarajupally Plaza","Telangana","Jangaon","Janagaon Thirumalagiri","3658","Khammam-II","Hyderabad"
"656","350036","Yerkaram","Telangana","Suryapet","Thirumalagin Suryapet Others","3658","Khammam-II","Hyderabad"
"657","350040","Singarenipalli Toll Plaza","Telangana","Suryapet","Suryapet to Khammam","365BB","Khammam-II","Hyderabad"
"658","350041","Mandamarri Toll Plaza","Telangana","Adilabad","Mancherial-Repellewada","363","Mancherial","Hyderabad"
"659","350042","Taddanpally Toll Plaza","Telangana","Sangareddy","Kandi to Nizampet","161","Gajwel","Hyderabad"
"661","350044","Pudur Toll Plaza","Tamil Nadu","Madurai","Madurai-Chettikulam-Natham-Thuvarankurichi","785","Madurai","Madurai"
"663","350046","Mudiveedu Toll Plaza","Andhra Pradesh","Annamayya","Rayachoty Angallu Road","340","Kadapa","Vijayawada"
"665","350100","Kamkole","Telangana","Sangareddy","MH-Knt Border Sangareddy","9 (New-65)","Gulbarga","Bangalore"
"666","350101","Munnanur","Telangana","Nagarkurnool","Jadcheria-Kalwakurtey","167","Hyderabad","Hyderabad"
"667","350102","Chitlapalli Toll Plaza","Telangana","Sangareddy","Hyderabad-Yadgiri-Warangal","163","Hyderabad","Hyderabad"
"668","350103","Gummadidala","Telangana","Sangareddy","Hyderabad to outer Ring Road Junction to Medak Section","7650","Gajwel","Hyderabad"
"669","350104","Dharmaram Toll Plaza","Telangana","Nizamabad","Mangloor to Telangana/Maharashtra Section","161","Gajwel","Hyderabad"
"670","352001","Nannur","Andhra Pradesh","Kurnool","Cudappa-Mydukur-Kurnool NHDP-III","40 (Old 18)","Kadapa","Vijayawada"
"671","352013","Chapirevula","Andhra Pradesh","Nandyal","Cudappa-Mydukur-Kumool NHDP-III","40 (Old 18)","Kadapa","Vijayawada"
"672","352020","Mahasamudram","Andhra Pradesh","Chittoor","AP/TN Border-Nalagampalli & Nalagampalli-AP/KA Border","69 (Old NH-4)","Tirupati","Vijayawada"
"673","352022","Nathavalasa","Andhra Pradesh","Vizianagaram","Ranastalam-Visakhapatnam","16(old 5)","Vishakhapatnam","Vijayawada"
"674","352023","S.V Puram Toll Plaza","Andhra Pradesh","Tirupati","Tirupati Tiruthani","716 (NH-205)","Chennai-2","Chennai"
"675","352024","Marur toll plaza","Andhra Pradesh","Anantapur","Hyderabad Bangalore","44","Anantpur","Vijayawada"
"676","352025","Kasapalli toll plaza","Andhra Pradesh","Anantapur","Hyderabad Bangalore","44","Anantpur","Vijayawada"
"677","352026","Amakthadu toll plaza","Andhra Pradesh","Nandyal","Hyderabad Bangalore","44","Anantpur","Vijayawada"
"678","352027","Kalapamu","Andhra Pradesh","Eluru","Vijayawada-Gundugolanu","S","Vijayawada","Vijayawada"
"679","352028","Agnampad","Andhra Pradesh","Visakhapatnam","Vishakhapatnam Ankapolli","16 (Old NH-5)","Vishakhapatnam","Vijayawada"
"680","352030","Madapam","Andhra Pradesh","Srikakulam","Narasarinapeta- Ranastalam","16 (Old NH-5)","Vishakhapatnam","Vijayawada"
"681","352031","Badava","Andhra Pradesh","NTR","Ibrahimpatnam-AP/Telangana Border","221","Vijayawada","Vijayawada"
"682","352032","Bhramanapalli","Andhra Pradesh","Nellore","Vaggampalle-Dornala T-Junction 2-LPS","565","Nellore","Vijayawada"
"683","352033","Chinthalapalem","Andhra Pradesh","Tirupati","Penchalakona Yerpedu","565","Tirupati","Vijayawada"
"684","352034","Mekalavaripalli","Andhra Pradesh","Prakasam","Markapuram to Vaggampalle","565","Ongale","Vijayawada"
"685","352035","Raviguntapalli","Andhra Pradesh","Prakasam","Markapuram to Vaggampaile 2-LPS","565","Ongole","Vijayawada"
"686","352036","Rapur","Andhra Pradesh","SPSR Neilore","Penchalakona-Yerpedu","565","Tirupati","Vijayawada"
"687","352037","Basapuram","Andhra Pradesh","YSR Kadapa","Mydukur to Dornala T-Junction","67","Kadapa","Vijayawada"
"688","352038","Durgamvaripal","Andhra Pradesh","Annamayya","Pileru Ravachoty","40","Tirupati","Vijayawada"
"689","352039","Pottipadu","Andhra Pradesh","Krishna","Vijayawada-Gundugolanu","S","Vijayawada","Vijayawada"
"690","352040","Davaluru","Andhra Pradesh","Krishna","Vijayawada to Machilipatnam","65 (Old NH-9)","Vijayawada","Vijayawada"
"691","352041","Panchvati Colony(Vishakapatnam Port Connectivity)","Andhra Pradesh","Visakhapatnam","Vishakhapatnam Port Connectivity Project","NE-5 (New NH 16)","Vishakhapatnam","Vijayawada"
"692","352042","Goshtani Gate of Navy Vishakapatnam Port Connectivity)","Andhra Pradesh","Visakhapatnam","Vishakhapatnam Port Connectivity Project","5160","Vishakhapatnam","Vijayawada"
"693","352043","yerradoddi","Andhra Pradesh","Anantapur","Mudigubba Anantapur District Border Others","42","Anantpur","Vijayawada"
"694","352044","Jeilipalli","Andhra Pradesh","Anantapur","AP Boarder Anantapur","42","Anantpur","Vijayawada"
"695","352045","Bandapalli","Andhra Pradesh","Annamaya","Ravachoty Kadapa","18 (New NH-40)","Kadapa","Vijayawada"
"696","352046","Millampali","Andhra Pradesh","Prakasam","Davulpalli Markapuram","565","Ongole","Vijayawada"
"698","352048","Gollaprolu","Andhra Pradesh","Kakinada District","Kathipudi to Start of Kakinada Bypass 4-1","216 (old 214)","Rajahmundry","Vijayawada"
"699","352049","Chinaganjam","Andhra Pradesh","Bapatla","Eepuripalem to Ongale ZLPS","216 (Old NH-214A)","Ongale","Vijayawada"
"700","352050","Chittimitti Chinthala","Andhra Pradesh","Kadapa","Muddanurur-Jammalamaduga Others","67","Kadapa","Vijayawada"
"701","352051","Medapi","Andhra Pradesh","Prakasam","Giddalur-Vinukonda","544D","Amaravati (AP)","Vijayawada"
"702","352052","Pandillapall","Andhra Pradesh","Prakasam","Giddalur Vinukonda","5440","Amaravati (AP)","Vijayawada"
"703","352053","Jodi Dharmapuram","Andhra Pradesh","Anantapur","Gooty-Tadipatri","67","Anantpur","Vijayawada"
"704","352054","Gadanikku","Andhra Pradesh","Tirupati","Chittoor Mallavaram","140","Tirupati","Vijayawada"
"705","352055","Bathalapalli","Andhra Pradesh","Anantapur","Rapthadu-Bathalapalli section","42","Anantpur","Vijayawada"
"706","352056","Veera Valli","Andhra Pradesh","East Godavari","Gundugolanu-Devarapalli-Kovvurl","16","Rajahmundry","Vijayawada"
"707","352057","Vaddupaill","Andhra Pradesh","Anantapur","Anarithapuramu to Kalyandurg section (2-LPS)","544DD","Anaritpur","Vijayawada"
"708","352058","Jawahar Nagar N","Telangana","Mulugu","Hyderadad-Bhopalapatnam section","163","Warangal","Hyderabad"
"709","352059","Dukkavanipalem Toll Plaza","Andhra Pradesh","Visakhapatnam","Anakapalli-Pendurthi Anandapuram Section","16","Vishakhapatnam","Vijayawada"
"710","352060","Marripalem Toll Plaza","Andhra Pradesh","Anakapalli","Anakapalli-Pendurthi Anandapuram Section","16","Vishakhapatnam","Vijayawada"
"711","352061","Thenepalli","Andhra Pradesh","Chittoor","Pileru Puthalupattu","40","Tirupati","Vijayawada"
"712","352062","Danamaiahqaaripalli Toll Plaza","Andhra Pradesh","Chittoor","Palamaneru to Krishnagiri (2LPS)","42","Chittoor","Vijayawada"
"713","352063","Bandlapalli Toll Plaza","Andhra Pradesh","Chittoor","Madanapalli-Punganuru-Palamaneru","42","Chittoor","Vijayawada"
"714","352064","Cholasamundram Toll Plaza","Andhra Pradesh","Sri Satya Sai","Kodikonda Junction to Madakasira section","544 E","Anantpur","Vijayawada"
"715","352065","Paatimeeda Palli","Andhra Pradesh","YSR kadapa","Cudappa-Mydukur-Kumool NHDP-III","18","Kadapa","Vijayawada"
"716","352066","Munjuluru Toll Plaza","Andhra Pradesh","Krishna","Losari-Machavaram section","216","Vijayawada","Vijayawada"
"717","352067","Annampalli Toll Plaza","Andhra Pradesh","Dr. B. R. Ambedkar Konaseema","Gurajanapalli to Pasariapudi","216 (old 214)","Rajahmundry","Vijayawada"
"718","352068","Gorribanda Toll Plaza","Andhra Pradesh","Srikakulam","AP/Odisha Border to Narasannaapeta section","326 A","Vishakhapatnam","Vijayawada"
"720","356006","Belekari","Karnataka","Uttara Kannada","Goa-Karnataka Border to Kundapur","66 (Old 17)","Honanvar","Bangalore"
"721","356007","Holgegadde","Karnataka","Uttara Kannada","Goa-Karnataka Border to Kundapur","66 (Old 17)","Honanvar","Bangalore"
"722","356008","Shirur","Karnataka","Udupi","Goa-Kamataka Border to Kundapur","66 (Old 17)","Honanvar","Bangalore"
"723","356016","Bankapur","Karnataka","Haveri","Gabbur-Devgiri","4B(Old NH4)","Dharwad","Bangalore"
"724","356017","Bagepalli Toll Plaza","Karnataka","Chikkaballapura","AP/ Karnataka Border Devanhall","7","Bangalore","Bangalore"
"725","356018","Kognoli","Karnataka","Belagavi","Maharashtra Border -Belgaum","4 (New NH-48)","Dharwad","Bangalore"
"726","356019","Chalageri","Karnataka","Haveri","Hadadi Devgiri","4","Chitradurga","Bangalore"
"727","356020","Hebbalu","Karnataka","Davanagere","Doddasiddanahally Hadadi","","Chitradurga","Bangalore"
"728","356021","Hattargi","Karnataka","Belagavi","Hattargi Hirebagewadi","4 (New NH-48)","Dharwad","Bangalore"
"729","356023","Brahamarakottu","Karnataka","Dakshina Kannada","B.C. Road Padil & Padil Bypass (Suratikal-Nantur) (New Mangalore Port)","48(new 73)","Mangalore","Bangalore"
"730","356024","Yeddore","Karnataka","Mysuru","Kerala border Kollegal","212 (New-766)","Mysuru","Bangalore"
"731","356025","KN Huindy","Karnataka","Mysuru","Kerala border Kollegal","212 (New-766)","Mysuru","Bangalore"
"732","356026","Kannole","Karnataka","Vijayapura","Bitapur-Gulberga Homnabad 2/4-LPS","218(New-50)","Gulbarga","Bangalore"
"733","356027","Harwal","Karnataka","Kalaburagi","Bijapur-Gulbarga-Homnabad 2/4-LPS","218(New-50)","Gulbarga","Bangalore"
"734","356028","Kannegala","Karnataka","Chamarajanagara","Kerala border Kollegal","212 (New-766)","Mysuru","Bangalore"
"735","356029","Hirehalli","Karnataka","Chitradurga","Byrapura-Chalkere","150-A","Chitradurga","Bangalore"
"736","356030","Tidagundi","Karnataka","Vijayapura","Solapur Bijapur Section","13(new-52)","Solapur","Mumbai"
"737","356100","Mangalgi","Karnataka","Bidar","MH-Knt Border Sangareddy","9(New-65)","Gulbarga","Bangalore"
"738","356103","Thimmalapura","Karnataka","Vijayangara","Hospet Chitradurga 41 21.2.2020","50 (Old NH-13)","Chitradurga","Bangalore"
"739","356104","Kananakatte","Karnataka","Davanagere","Hospet-Chitradurga 41","50 (Old NH-13)","Chitradurga","Bangalore"
"740","356106","Nalavadi","Karnataka","Dharwad","Hubli to Hospet section","63","Dharwad","Bangalore"
